"Date","FieldNotes","FlowAdjustment"
"Date Assessed Saturday, 2017-12-09","Streamflow is 102.9 cfs. Wadable conditions. Temperature was 27.3 deg C. Recorded by WXQ.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2017-02-23","Stream flow at 0.2 gpm.  Temperature was 26.4 deg C. Recorded by WLD.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Friday, 2016-05-27","Streamflow is 156.6 MGD. Ambient Air Temperature was 28 deg C. Temperature was 22.5 deg C. Recorded by MEB.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2021-05-28","flow was 141.2 MGD. Wadable conditions. Temperature was 28.1 deg C. Recorded by VQE.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2020-10-20","Stream flow at 101.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.2 deg C. Recorded by CDT.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2020-09-09","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 27.8 deg C. Recorded by VWF.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2021-03-30","Stream flow at 149.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 35.7 deg C. Recorded by XNS.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2020-11-30","Streamflow is 103.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.9 deg C. Recorded by YCW.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2017-07-11","Streamflow is 172.9 MGD.  Temperature was 31.1 deg C. Recorded by AXN.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2019-07-31","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 31.9 deg C. Recorded by FAE.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2017-10-05","flow was 149 MGD. Wadable conditions. Temperature was 27.3 deg C. Recorded by BYN.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Sunday, 2022-01-09","Stream flow at 109.3 cfs.  Temperature was 29.3 deg C. Recorded by KTE.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2021-05-05","Streamflow is 98.5 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28.5 deg C. Recorded by GLH.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2020-07-03","Streamflow is 96.5 cfs.  Temperature was 21.3 deg C. Recorded by DHK.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Friday, 2019-03-22","flow was 146.4 MGD.  Temperature was 26 deg C. Recorded by YJU.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Tuesday, 2018-01-23","flow was 0.2 gpm.  Temperature was 24.7 deg C. Recorded by FWF.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2021-05-07","Stream flow at 100.4 cfs.  Temperature was 29.2 deg C. Recorded by WHJ.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2020-02-28","Streamflow is 96.6 cfs.  Temperature was 31.9 deg C. Recorded by JVP.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Tuesday, 2018-05-08","flow was 134.5 MGD. Wadable conditions. Temperature was 27.8 deg C. Recorded by CVB.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2021-11-15","Streamflow is 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.7 deg C. Recorded by VLC.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Thursday, 2018-04-05","Streamflow is 106.7 cfs. Wadable conditions. Temperature was 24.4 deg C. Recorded by SHU.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2022-01-07","flow was 0.2 gpm.  Temperature was 27.3 deg C. Recorded by VGN.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Wednesday, 2019-10-16","Stream flow at 0.2 gpm.  Temperature was 25.1 deg C. Recorded by LNS.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2018-02-10","flow was 180.6 MGD. Wadable conditions. Temperature was 25.4 deg C. Recorded by INU.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2021-04-15","Stream flow at 0.2 gpm.  Temperature was 33.1 deg C. Recorded by PQD.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Saturday, 2019-03-16","Streamflow is 170.1 MGD.  Temperature was 25.6 deg C. Recorded by WPG.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2019-12-06","flow was 157 MGD. Wadable conditions. Temperature was 32.5 deg C. Recorded by RNM.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Saturday, 2018-11-10","Stream flow at 143.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 24.9 deg C. Recorded by OBJ.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2019-04-23","Stream flow at 82.5 cfs. Wadable conditions. Temperature was 28.1 deg C. Recorded by WXS.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Thursday, 2019-04-18","Streamflow is 110.7 cfs.  Temperature was 27.5 deg C. Recorded by ISW.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Wednesday, 2020-11-18","flow was 179.6 MGD. Wadable conditions. Temperature was 27.2 deg C. Recorded by VQW.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2021-03-29","Streamflow is 183.9 MGD.  Temperature was 31.8 deg C. Recorded by UGD.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2020-10-13","flow was 91.8 cfs. Wadable conditions. Temperature was 24.5 deg C. Recorded by OJN.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2016-12-08","Stream flow at 168.6 MGD. Wadable conditions. Temperature was 32.3 deg C. Recorded by FJE.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2016-12-02","Stream flow at 130.8 MGD. Wadable conditions. Temperature was 26.6 deg C. Recorded by YGG.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2017-08-19","Streamflow is 0.2 gpm.  Temperature was 29.7 deg C. Recorded by XAK.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2019-09-25","Streamflow is 160.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25.6 deg C. Recorded by SJU.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2017-12-08","flow was 0.2 gpm. Wadable conditions. Temperature was 23.4 deg C. Recorded by ITC.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2021-05-30","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.3 deg C. Recorded by LYB.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2020-10-29","Streamflow is 0.2 gpm.  Temperature was 36.3 deg C. Recorded by OTD.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2020-10-11","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 26.2 deg C. Recorded by HIY.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2018-10-16","flow was 0.2 gpm.  Temperature was 30.8 deg C. Recorded by TVN.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2019-07-14","Stream flow at 93 cfs.  Temperature was 25.9 deg C. Recorded by HQR.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2021-07-02","Stream flow at 97.2 cfs.  Temperature was 27.5 deg C. Recorded by BGH.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2020-09-28","Streamflow is 98.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.7 deg C. Recorded by SXE.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2021-02-21","flow was 148.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.5 deg C. Recorded by EHH.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2020-06-16","Stream flow at 0.2 gpm.  Temperature was 32.9 deg C. Recorded by YGW.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2020-10-18","Streamflow is 171.3 MGD. Wadable conditions. Temperature was 33.3 deg C. Recorded by FMH.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2019-05-03","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 25.8 deg C. Recorded by QAC.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2022-03-02","Streamflow is 113.8 cfs.  Temperature was 30 deg C. Recorded by PWE.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Wednesday, 2017-05-24","Stream flow at 147.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.1 deg C. Recorded by ROM.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2018-12-16","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29 deg C. Recorded by TKL.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2018-04-08","Streamflow is 0.3 gpm.  Temperature was 32.9 deg C. Recorded by KMK.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2019-11-05","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 28.4 deg C. Recorded by IDO.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2018-01-25","Stream flow at 0.2 gpm.  Temperature was 28.9 deg C. Recorded by EIW.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Friday, 2019-04-12","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 31.7 deg C. Recorded by NUH.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2017-09-11","Streamflow is 0.2 gpm.  Temperature was 26.4 deg C. Recorded by NQF.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2016-05-01","Streamflow is 150.6 MGD. Wadable conditions. Temperature was 32.2 deg C. Recorded by DRV.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2016-10-10","Streamflow is 136.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 32.2 deg C. Recorded by XMW.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2018-12-10","Stream flow at 97.6 cfs. Wadable conditions. Temperature was 27.9 deg C. Recorded by SRM.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2020-05-01","flow was 167.5 MGD. Wadable conditions. Temperature was 29.2 deg C. Recorded by OND.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2021-07-26","flow was 147.5 MGD. Wadable conditions. Temperature was 20.1 deg C. Recorded by LJG.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2019-04-22","Streamflow is 116.6 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.1 deg C. Recorded by DBS.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2019-03-09","Streamflow is 95 cfs.  Temperature was 22.9 deg C. Recorded by COD.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2018-10-16","Streamflow is 156.8 MGD. Wadable conditions. Temperature was 24.3 deg C. Recorded by KJG.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2016-05-25","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 24 deg C. Recorded by VBM.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Thursday, 2019-09-26","Stream flow at 96.3 cfs. Wadable conditions. Temperature was 28.9 deg C. Recorded by AQU.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2021-11-07","Streamflow is 99.1 cfs.  Temperature was 27.4 deg C. Recorded by IRA.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2016-10-16","Streamflow is 162.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 33.6 deg C. Recorded by WQK.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2021-04-05","flow was 0.2 gpm.  Temperature was 32.3 deg C. Recorded by BPK.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2019-06-21","flow was 97.7 cfs. Ambient Air Temperature was 28 deg C. Temperature was 31.6 deg C. Recorded by MYI.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2019-02-15","flow was 169 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.1 deg C. Recorded by GTF.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2016-06-12","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 30.4 deg C. Recorded by PMM.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2018-03-22","Streamflow is 164 MGD.  Temperature was 24.1 deg C. Recorded by HFE.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2017-11-25","Stream flow at 0.2 gpm.  Temperature was 23.7 deg C. Recorded by XHQ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2016-05-21","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 23.1 deg C. Recorded by SOW.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Monday, 2017-02-27","Stream flow at 147.2 MGD.  Temperature was 27.2 deg C. Recorded by OYE.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Saturday, 2019-08-03","Stream flow at 0.2 gpm.  Temperature was 22.9 deg C. Recorded by AHH.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2021-09-21","Streamflow is 93.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28.7 deg C. Recorded by RQW.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2020-07-01","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.4 deg C. Recorded by IGU.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2019-03-20","flow was 0.3 gpm. Wadable conditions. Temperature was 34.7 deg C. Recorded by QRU.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2021-03-26","Streamflow is 109.2 cfs.  Temperature was 31.1 deg C. Recorded by DCB.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2017-11-02","flow was 174.6 MGD. Ambient Air Temperature was 28 deg C. Temperature was 27.4 deg C. Recorded by SPP.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2020-04-29","Stream flow at 0.3 gpm.  Temperature was 26.7 deg C. Recorded by XFE.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Friday, 2019-01-25","flow was 131.7 MGD. Ambient Air Temperature was 28 deg C. Temperature was 21.1 deg C. Recorded by BBA.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2019-07-03","Streamflow is 155.6 MGD.  Temperature was 23.7 deg C. Recorded by MIT.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2020-08-25","Streamflow is 105.7 cfs.  Temperature was 31.4 deg C. Recorded by FUR.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Wednesday, 2017-10-04","Streamflow is 0.2 gpm.  Temperature was 26.9 deg C. Recorded by FXM.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2016-07-19","flow was 0.2 gpm. Wadable conditions. Temperature was 30.1 deg C. Recorded by WUH.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2022-03-17","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26 deg C. Recorded by YID.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2017-03-16","Streamflow is 0.2 gpm.  Temperature was 20.7 deg C. Recorded by QHC.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2016-10-03","Streamflow is 95.5 cfs. Wadable conditions. Temperature was 29.7 deg C. Recorded by DSO.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2021-02-03","Stream flow at 106.1 cfs.  Temperature was 23.6 deg C. Recorded by TEM.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Saturday, 2018-04-07","Streamflow is 105.7 cfs. Wadable conditions. Temperature was 27.7 deg C. Recorded by MOW.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2016-10-11","Stream flow at 148 MGD.  Temperature was 32 deg C. Recorded by APC.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Saturday, 2019-11-23","Streamflow is 111.1 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.7 deg C. Recorded by JDW.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2017-01-06","flow was 85.2 cfs. Wadable conditions. Temperature was 24.8 deg C. Recorded by WMF.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2021-07-18","flow was 164 MGD. Wadable conditions. Temperature was 25.6 deg C. Recorded by RUB.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Sunday, 2020-05-03","Stream flow at 157.9 MGD.  Temperature was 28.3 deg C. Recorded by PGI.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2021-08-28","Streamflow is 148 MGD. Wadable conditions. Temperature was 28.3 deg C. Recorded by GAI.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2017-09-17","Streamflow is 119.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 28.8 deg C. Recorded by CIK.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Monday, 2017-05-29","Streamflow is 0.2 gpm.  Temperature was 23 deg C. Recorded by QTO.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2020-08-08","flow was 126.8 cfs. Wadable conditions. Temperature was 25.8 deg C. Recorded by NIA.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2016-03-23","Streamflow is 0.2 gpm.  Temperature was 29.9 deg C. Recorded by GIS.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2017-12-29","flow was 134.6 MGD. Wadable conditions. Temperature was 23.7 deg C. Recorded by COG.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2018-07-25","Streamflow is 99.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 24.6 deg C. Recorded by GST.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Thursday, 2019-06-27","Stream flow at 85.5 cfs. Wadable conditions. Temperature was 29.3 deg C. Recorded by YGG.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2019-05-10","Streamflow is 99.5 cfs.  Temperature was 27.8 deg C. Recorded by VFQ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2017-01-25","flow was 97.2 cfs.  Temperature was 26.4 deg C. Recorded by SWV.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2018-03-22","flow was 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.7 deg C. Recorded by SWJ.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2020-01-11","Stream flow at 119 cfs. Wadable conditions. Temperature was 29.3 deg C. Recorded by CLI.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2020-03-09","Stream flow at 103.8 cfs.  Temperature was 25.6 deg C. Recorded by OWF.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2019-04-12","flow was 0.2 gpm.  Temperature was 29.6 deg C. Recorded by AXQ.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2022-03-09","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29.7 deg C. Recorded by KYI.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2019-04-14","flow was 138.2 MGD.  Temperature was 24.2 deg C. Recorded by WTG.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2021-03-15","Stream flow at 164.7 MGD. Ambient Air Temperature was 28 deg C. Temperature was 27.2 deg C. Recorded by GWQ.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2021-11-17","Streamflow is 108.1 cfs. Wadable conditions. Temperature was 26.9 deg C. Recorded by PPH.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2019-02-26","flow was 103.7 cfs. Ambient Air Temperature was 28 deg C. Temperature was 30.7 deg C. Recorded by VWP.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2021-11-13","Stream flow at 0.2 gpm.  Temperature was 28.5 deg C. Recorded by CKI.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2019-06-07","Streamflow is 145.2 MGD. Wadable conditions. Temperature was 28.5 deg C. Recorded by PJL.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2021-09-05","Streamflow is 159.2 MGD.  Temperature was 30.3 deg C. Recorded by JLQ.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2018-09-16","Streamflow is 144 MGD.  Temperature was 23.3 deg C. Recorded by XOR.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Monday, 2022-02-28","Stream flow at 101.9 cfs. Wadable conditions. Temperature was 31.9 deg C. Recorded by UYL.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Monday, 2019-07-01","Stream flow at 101.9 cfs. Wadable conditions. Temperature was 28.9 deg C. Recorded by FLL.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2021-09-28","Streamflow is 121.5 cfs.  Temperature was 26.3 deg C. Recorded by KAH.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2019-08-18","flow was 156 MGD. Wadable conditions. Temperature was 28.7 deg C. Recorded by SND.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2020-09-15","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.6 deg C. Recorded by HBI.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Monday, 2021-08-16","flow was 0.2 gpm.  Temperature was 28.6 deg C. Recorded by OGQ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2019-12-22","flow was 142 MGD. Wadable conditions. Temperature was 28.7 deg C. Recorded by NKX.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2019-03-19","Streamflow is 155.5 MGD. Wadable conditions. Temperature was 31 deg C. Recorded by YRG.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2017-11-18","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 28.7 deg C. Recorded by GTI.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2021-07-29","flow was 0.2 gpm.  Temperature was 26.5 deg C. Recorded by ESQ.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2018-03-25","Stream flow at 135.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 34 deg C. Recorded by IAV.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2017-12-28","Stream flow at 103.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28.9 deg C. Recorded by NMM.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2019-03-12","Stream flow at 90 cfs. Ambient Air Temperature was 28 deg C. Temperature was 30.7 deg C. Recorded by ATF.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2019-06-02","flow was 94.1 cfs.  Temperature was 21 deg C. Recorded by PJG.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2021-06-29","Stream flow at 186.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.8 deg C. Recorded by LIE.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Friday, 2018-08-10","flow was 116.8 cfs. Wadable conditions. Temperature was 25.9 deg C. Recorded by SCE.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2018-01-15","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 33.7 deg C. Recorded by BUS.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2016-11-20","flow was 0.2 gpm. Wadable conditions. Temperature was 30.2 deg C. Recorded by QHG.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2020-10-21","flow was 173.4 MGD. Wadable conditions. Temperature was 30.2 deg C. Recorded by XQM.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2019-01-24","Stream flow at 0.2 gpm.  Temperature was 30.4 deg C. Recorded by OGT.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2021-07-07","Streamflow is 184.8 MGD. Wadable conditions. Temperature was 29.4 deg C. Recorded by KTC.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2016-07-20","Stream flow at 155.2 MGD. Wadable conditions. Temperature was 27.8 deg C. Recorded by WXC.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2020-07-24","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29.7 deg C. Recorded by EBI.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2021-08-17","Stream flow at 121.5 cfs.  Temperature was 26.1 deg C. Recorded by BWI.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2018-09-22","flow was 160.4 MGD. Wadable conditions. Temperature was 28.9 deg C. Recorded by RPT.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2017-11-23","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 24.3 deg C. Recorded by PUG.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Thursday, 2017-12-28","Stream flow at 141.7 MGD. Wadable conditions. Temperature was 23.8 deg C. Recorded by ROL.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2020-10-31","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.2 deg C. Recorded by NNI.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2017-12-11","Streamflow is 102.2 cfs.  Temperature was 30.6 deg C. Recorded by HXP.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2019-06-29","flow was 0.3 gpm. Wadable conditions. Temperature was 28.6 deg C. Recorded by BUK.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2020-08-07","flow was 99.6 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.2 deg C. Recorded by GAA.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2021-07-05","Streamflow is 150.9 MGD.  Temperature was 26.3 deg C. Recorded by BHC.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2020-12-14","flow was 156.9 MGD.  Temperature was 29.2 deg C. Recorded by WLS.","Flow was scaled by constant factor of 0.2 to account for science"
